dataset,model_id,forecast_origin,RMSSE,WAPE,MAE,seeds
Favorita,dlinear,2017-03-01,0.6899006576555761,0.48433976486676306,10.986056036592792,3
Favorita,dlinear,2017-03-29,0.8471774480540811,0.40153507758322715,8.954232430994196,3
Favorita,dlinear,2017-04-26,0.7043109874316112,0.38899579043819466,8.242851885451527,3
Favorita,global_lightgbm,2017-03-01,0.875243094543789,0.45425072399950894,10.303560166888767,1
Favorita,global_lightgbm,2017-03-29,1.0420099091643975,0.4419614112121254,9.855739691143944,1
Favorita,global_lightgbm,2017-04-26,0.8236376981689685,0.42603083864972885,9.027627516659125,1
Favorita,gts_native,2017-03-01,0.7878625789509964,0.647386209938932,14.684363530760336,3
Favorita,gts_native,2017-03-29,0.9219993597484151,0.6405312985986037,14.28384827920704,3
Favorita,gts_native,2017-04-26,0.7577313147340083,0.5397778094579543,11.437934918018911,3
Favorita,gts_no_graph,2017-03-01,0.6893939326063685,0.502011037938094,11.386885392928997,3
Favorita,gts_no_graph,2017-03-29,0.8776017241560664,0.5047794990337294,11.256583080993641,3
Favorita,gts_no_graph,2017-04-26,0.705107772677513,0.44313881658702314,9.390146936311032,3
Favorita,gts_placebo,2017-03-01,0.7254648175209925,0.6281629398602341,14.248330940396363,3
Favorita,gts_placebo,2017-03-29,0.9124069044518229,0.5608003970626526,12.505849135065915,3
Favorita,gts_placebo,2017-04-26,0.7426989400484256,0.5337991695790213,11.311247061209498,3
Favorita,itransformer,2017-03-01,0.7100119545385177,0.5032289650258349,11.414511072679014,3
Favorita,itransformer,2017-03-29,0.8728168950540652,0.43471066295863037,9.694048001463452,3
Favorita,itransformer,2017-04-26,0.7180061225206894,0.40866168661458974,8.659573797002514,3
Favorita,mage_native,2017-03-01,0.6816686244722842,0.4363171274752479,9.896780648367558,3
Favorita,mage_native,2017-03-29,0.8420323376464518,0.420505830571573,9.377280232125386,3
Favorita,mage_native,2017-04-26,0.6928791039034733,0.39222086233007647,8.311191416567707,3
Favorita,mage_no_graph,2017-03-01,0.675110431615738,0.431964780336489,9.798058360780324,3
Favorita,mage_no_graph,2017-03-29,0.8397995595297366,0.40976821239064853,9.137831341318735,3
Favorita,mage_no_graph,2017-04-26,0.6889111753987368,0.390418196257261,8.272992778427154,3
Favorita,mage_placebo,2017-03-01,0.6703374924083308,0.42425557301842237,9.623193958272944,3
Favorita,mage_placebo,2017-03-29,0.84165479814705,0.4202593707779667,9.371784178604662,3
Favorita,mage_placebo,2017-04-26,0.6928693807723141,0.3905465028985809,8.275711606410175,3
Favorita,metadata_embedding_tcn,2017-03-01,0.6525078536863494,0.4148694539679522,9.410292938504389,3
Favorita,metadata_embedding_tcn,2017-03-29,0.863773156136093,0.45458340671740166,10.137210197226397,3
Favorita,metadata_embedding_tcn,2017-04-26,0.6832802216782898,0.3922166001436387,8.311101100496485,3
Favorita,mixlinear,2017-03-01,0.6676139147504486,0.441177903093511,10.00703538522203,3
Favorita,mixlinear,2017-03-29,0.8667615789886152,0.4208108289658601,9.384081696470579,3
Favorita,mixlinear,2017-04-26,0.6849806141032421,0.3800341464192642,8.052953932532873,3
Favorita,mtgnn_native,2017-03-01,0.6729004494102263,0.4217571066435577,9.566522395062856,3
Favorita,mtgnn_native,2017-03-29,0.8191134779507502,0.4609305883680457,10.278752351211255,3
Favorita,mtgnn_native,2017-04-26,0.696266682730359,0.4257404873852025,9.021474950160787,3
Favorita,mtgnn_no_graph,2017-03-01,0.6614133354515311,0.40187753775414414,9.115603280745487,3
Favorita,mtgnn_no_graph,2017-03-29,0.8260517484187141,0.4617203909788315,10.296364949826918,3
Favorita,mtgnn_no_graph,2017-04-26,0.6896816320677038,0.3790040276622366,8.03112563375093,3
Favorita,mtgnn_placebo,2017-03-01,0.6673073981590458,0.4279158604491114,9.706218573926066,3
Favorita,mtgnn_placebo,2017-03-29,0.821041909180332,0.4136675667024277,9.22478694442226,3
Favorita,mtgnn_placebo,2017-04-26,0.6993503937126527,0.43869777956365025,9.296041006886364,3
Favorita,nlinear,2017-03-01,0.7168884612311599,0.5142258870262498,11.663949194613588,3
Favorita,nlinear,2017-03-29,0.8788475962954273,0.431090827751801,9.613325674540151,3
Favorita,nlinear,2017-04-26,0.7055292531863674,0.3873184275750638,8.207308432337626,3
Favorita,patchtst,2017-03-01,0.7094095697314405,0.5147536409759352,11.675919994629092,3
Favorita,patchtst,2017-03-29,0.8762955559179617,0.45384043154572834,10.12064185052637,3
Favorita,patchtst,2017-04-26,0.711496903340787,0.41082610897160593,8.705438079714538,3
Favorita,seasonal_naive,2017-03-01,0.8165322114824081,0.5238278676819196,11.881746503852662,1
Favorita,seasonal_naive,2017-03-29,1.0018225178442666,0.45825325693791924,10.219047858979966,1
Favorita,seasonal_naive,2017-04-26,0.899880608662311,0.5222007886976636,11.065476443464794,1
Favorita,semantic_knn_tcn,2017-03-01,0.6625205395831201,0.4164384929527955,9.445882727866056,3
